,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
0,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,shawshank redemption drama two imprisoned men bond number years finding solace eventual redemption acts common decency frank darabont tim robbins morgan freeman bob gunton william sadler
1,The Godfather,"Crime, Drama",An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,godfather crime drama organized crime dynasty aging patriarch transfers control clandestine empire reluctant son francis ford coppola marlon brando al pacino james caan diane keaton
2,The Dark Knight,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,dark knight action crime drama menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice christopher nolan christian bale heath ledger aaron eckhart michael caine
3,The Godfather: Part II,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,godfather part ii crime drama early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate francis ford coppola al pacino robert de niro robert duvall diane keaton
4,12 Angry Men,"Crime, Drama",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,12 angry men crime drama jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence sidney lumet henry fonda lee j cobb martin balsam john fiedler
5,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,lord rings return king action adventure drama gandalf aragorn lead world men sauron army draw gaze frodo sam approach mount doom one ring peter jackson elijah wood viggo mortensen ian mckellen orlando bloom
6,Pulp Fiction,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,pulp fiction crime drama lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption quentin tarantino john travolta uma thurman samuel l jackson bruce willis
7,Schindler's List,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,schindler list biography drama history german occupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall
8,Inception,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,inception action adventure sci fi thief steals corporate secrets use dream sharing technology given inverse task planting idea mind c e christopher nolan leonardo dicaprio joseph gordon levitt elliot page ken watanabe
9,Fight Club,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,fight club drama insomniac office worker devil may care soapmaker form underground fight club evolves something much much david fincher brad pitt edward norton meat loaf zach grenier
10,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,lord rings fellowship ring action adventure drama meek hobbit shire eight companions set journey destroy powerful one ring save middle earth dark lord sauron peter jackson elijah wood ian mckellen orlando bloom sean bean
11,Forrest Gump,"Drama, Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,forrest gump drama romance presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart robert zemeckis tom hanks robin wright gary sinise sally field
12,"Il buono, il brutto, il cattivo",Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,il buono il brutto il cattivo western bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery sergio leone clint eastwood eli wallach lee van cleef aldo giuffr
13,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,lord rings two towers action adventure drama frodo sam edge closer mordor help shifty gollum divided fellowship makes stand sauron new ally saruman hordes isengard peter jackson elijah wood ian mckellen viggo mortensen orlando bloom
14,The Matrix,"Action, Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,matrix action sci fi beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truth life knows elaborate deception evil cyber intelligence lana wachowski lilly wachowski keanu reeves laurence fishburne carrie anne moss
15,Goodfellas,"Biography, Crime, Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,goodfellas biography crime drama story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italian american crime syndicate martin scorsese robert de niro ray liotta joe pesci lorraine bracco
16,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,star wars episode v empire strikes back action adventure fantasy rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy irvin kershner mark hamill harrison ford carrie fisher billy dee williams
17,One Flew Over the Cuckoo's Nest,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,one flew cuckoo nest drama criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients milos forman jack nicholson louise fletcher michael berryman peter brocco
18,Hamilton,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,hamilton biography drama history real life one america foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast thomas kail lin manuel miranda phillipa soo leslie odom jr ren e elise goldsberry
19,Gisaengchung,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,gisaengchung comedy drama thriller greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan bong joon ho kang ho song lee sun kyun cho yeo jeong choi woo sik
20,Soorarai Pottru,Drama,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,soorarai pottru drama nedumaaran rajangam maara sets make common man fly process takes world capital intensive industry several enemies stand way sudha kongara suriya madhavan paresh rawal aparna balamurali
21,Interstellar,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,interstellar adventure drama sci fi team explorers travel wormhole space attempt ensure humanity survival christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy
22,Cidade de Deus,"Crime, Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,cidade de deus crime drama slums rio two kids paths diverge one struggles become photographer kingpin fernando meirelles k tia lund alexandre rodrigues leandro firmino matheus nachtergaele
23,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,sen chihiro kamikakushi animation adventure family family move suburbs sullen 10 year old girl wanders world ruled gods witches spirits humans changed beasts hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi
